"title","artist","album","year","duration"
"Mother Nature (Skit)","DJ Smallz","Bitch I'm Mack Maine",2009,"2:03"
"L.V. Let's Roast 'Em (Skit)","DJ Sound (2)","Volume #11 Broken Halo",2007,""
"DJ Sound Skit","DJ Sound (2)","Vol 5 Gangsta Shit",2007,""
"Dolemite Skit","DJ Sound (2)","Vol 6 Dungeon Mix",2007,"0:13"
"Hey Joey Horror Skit / Side B Intro","DJ Sound (2)","Volume 8",2006,""
"Menace To Society Skit","DJ Sound (2)","Volume 5 Gangsta Shit",2008,"1:58"
"Shall We Play A (Video) Game? - Skit","DJ Spinbad","'80s Mega Mix Vol. 2",2004,"0:18"
"Buckwheat Is Dead - Skit","DJ Spinbad","'80s Mega Mix Vol. 2",2004,"0:27"
"Buckwheat Is Dead 2 - Skit","DJ Spinbad","'80s Mega Mix Vol. 2",2004,"1:04"
"I Ran / Scarface [Skit]","DJ Spinbad","80's Fresh Mix",2001,"1:50"
"Rocky [Skit] / Eye Of The Tiger","DJ Spinbad","80's Fresh Mix",2001,"2:05"
"The Simpsons [Skit] / Super Mario Bros. / Wanna Be Startin' Something / Word Up / Sweet Dreams / Star Wars [Skit] / 48 Hours [Skit]","DJ Spinbad","80's Fresh Mix",2001,"1:35"
"Friday The 13th [Skit] / Thriller","DJ Spinbad","80's Fresh Mix",2001,"2:06"
"Beat It / Pee Wee Herman [Skit]","DJ Spinbad","80's Fresh Mix",2001,"2:20"
"Chicken Skit","DJ Squeeky","Volume 9",1995,"1:29"
"Lock Em In Da Trunk Skit","DJ Squeeky","Volume 8",1994,"0:40"
"Fuck A Hoe Skit","DJ Squeeky","Volume 8",1994,"0:59"
"Skit","DJ Squeeky","Greatest Hits Vol. 2",1995,""
"Prelude (Skit)","DJ Tat Money","In Da Mix Volume 11",1996,""
"Skit","DJ Taz (3)","Overcoming The World",1999,""
"Grew Up (Skit)","DJ Toshi (2)","S.I.N.Y. (Bottom Of The Stat)",2009,""
"Friday Skit","DJ Vlad","Chronicles Chapter Two",0,"0:11"
"Half Baked Skit","DJ Vlad","Chronicles Chapter Two",0,"0:09"
"SKit","DJ Vlad","Chronicles Chapter Two",0,"0:18"
"Voicemail (Skit)","DJ Vlad","F. Suckaz",2005,"1:40"
"Training Day Skit","DJ Vlad","Chronicles Chapter Two",0,"0:15"
"R.I.P. Mac Dre (Skit)","DJ Vlad","F. Suckaz",2005,"0:33"
"Hip Hop Police Skit #1","DJ Warrior","American Hustler ""This Is My Life""",2008,""
"Hip Hop Police Skit #3","DJ Warrior","American Hustler ""This Is My Life""",2008,""
"Hip Hop Police Skit #2","DJ Warrior","American Hustler ""This Is My Life""",2008,""
"Hip Hop Police Skit #4","DJ Warrior","American Hustler ""This Is My Life""",2008,""
"Hip Hop Police Skit #5","DJ Warrior","American Hustler ""This Is My Life""",2008,""
"Hip Hop Police Skit #6","DJ Warrior","American Hustler ""This Is My Life""",2008,""
"Queens Skit","DJ Whoo Kid","Sada Pop Tv: The Mixtape",2005,""
"Skit","DJ Whoo Kid","Tha Blue Carpet Treatment Tha Mixtape",2006,"0:36"
"Vibe Awards (Skit)","DJ Whoo Kid","Chronic 2006",2007,""
"Verses Skit","DJ Whoo Kid","4-30-09 (Happy Birthday)",2009,"0:29"
"Vibe Awards (Skit 2)","DJ Whoo Kid","Chronic 2006",2007,""
"Vibe Awards (Skit 3)","DJ Whoo Kid","Chronic 2006",2007,""
"Gomez Skit","DJ Whoo Kid","G-Unit Radio Part 6: Motion Picture Shit",2007,""
"No More Game Skit","DJ Whoo Kid","G-Unit Radio Part 14: Back To Business",2005,""
"Devil Son Skit","DJ Whoo Kid"," G-Unit Radio Part 20 - Best In Bizness 2",2006,""
"Joker Skit-Hit On Joker!","DJ Whoo Kid","S.O.D.",2008,"0:49"
"Kill A Nigga Skit","DJ Whoo Kid","G-Unit Radio Part 14: Back To Business",2005,""
"Kelly Osbourne Vs. Paris Hilton Skit","DJ Whoo Kid","Hell Up In Hollywood / Crack City",2005,"0:36"
"Killin Me Not To Kill You Skit","DJ Whoo Kid","G-Unit Radio Part 14: Back To Business",2005,""
"BET Skit","DJ Whoo Kid","Bet Awards 05",2005,"0:37"
"Joker Skit","DJ Whoo Kid","S.O.D.",2008,"0:19"
"Kenny Chesney (Skit)","DJ Whoo Kid","G Unit Radio 25 - Sabrina's Baby Boy (Hosted By Chris Rock)",2007,"1:33"
"Pimpin Ken (Skit)","DJ Whoo Kid","G Unit Radio 25 - Sabrina's Baby Boy (Hosted By Chris Rock)",2007,"0:54"
"Poppin' Skit","DJ Whoo Kid"," G-Unit Radio Part 20 - Best In Bizness 2",2006,""
"Skit","Dj Yellaboy","Pusha Man 2004:  Str8 Out Da Kitchen",2004,""
"Crank Yankers Skit","DJ Z-Trip","Uneasy Listening, Volume 1",2001,""
"Waffle House Skit / Rhinestone Cowboy / Funky Soul Makossa (Free Beats)","DJ Z-Trip","Uneasy Listening, Volume 1",0,"1:58"
"Waffle House Skit","DJ Z-Trip","Uneasy Listening, Volume 1",2001,""
"Crank Yankers Skit / Passing Me By / Love Is A Battlefield","DJ Z-Trip","Uneasy Listening, Volume 1",0,"4:04"
"Take Over Skit","DJ Zirk","Nuttin But Killaz",1995,"0:58"
"DJ Squeeky Skit","DJ Zirk","Underworld",2002,"0:31"
"Ana Skit","DJ Zirk","Nuttin But Killaz",1995,"1:03"
"Skit","DJ Zirk","Bass Tape II",2009,""
"Skit (Let Me Know)","DMONI","Seance Sample",2014,"4:54"
"Come Prepared (Skit)","DMX","Grand Champ",2003,""
"The Storm (Skit)","DMX","It's Dark And Hell Is Hot / Survival Of The  Illest",1998,"1:01"
"Alot To Learn (Skit)","DMX","...And Then There Was X",1999,""
"Prayer (Skit)","DMX","The Definition Of X: Pick Of The Litter",2007,"2:33"
"Pull Up (Skit)","DMX","The Great Depression",2001,""
"Pull Out (Skit)","DMX","The Great Depression",2001,""
"Pac Man (Skit)","DMX","Flesh Of My Flesh Blood Of My Blood",1998,"0:56"
"The Kennel (Skit)","DMX","...And Then There Was X",1999,""
"Gotta Go (Skit)","DMX","Grand Champ",2003,""
"Mickey (Skit)","DMX","It's Dark And Hell Is Hot / Survival Of The  Illest",1998,"0:25"
"Ruff Radio 2 (Skit)","DMX","Grand Champ",2003,""
"My Niggas (Skit)","DMX","Flesh Of My Flesh Blood Of My Blood",1998,"1:27"
"The Shakedown (Skit)","DMX","...And Then There Was X",1999,""
"Ruff Radio (Skit)","DMX","Grand Champ",2003,""
"Just Venting (Skit)","Doap Nixon","Sour Diesel",2008,""
"Bugsy (Skit)","Dobad The Assailant","Rapid Fire",2003,""
"Listen  (Skit)","Dobad The Assailant","Rapid Fire",2003,""
"Skit","Doc Reevez","Recipe For Disaster",2015,""
"Skit: C.M.","Doesia Click","Doja Clik presents Ren Da Heat Monsta - da Mudville King",2009,""
"Skit: Mugzilla","Doesia Click","Doja Clik presents Ren Da Heat Monsta - da Mudville King",2009,""
"Skit: Groupie","Doesia Click","Doja Clik presents Ren Da Heat Monsta - da Mudville King",2009,""
"Skit: Guce","Doesia Click","Doja Clik presents Ren Da Heat Monsta - da Mudville King",2009,""
"Bitch N U (Skit)","Doggy's Angels","Pleezbaleevit!",2000,"0:50"
"Confessions Of A Hoodrat (Skit)","Doggy's Angels","Pleezbaleevit!",2000,"1:56"
"Snoopy Pryor (Skit)","Doggy's Angels","Pleezbaleevit!",2000,"0:20"
"You Remind Me (Skit)","Dojah (3)","Pure Competition",2005,""
"Crackadile Hunter (Skit)","Dojah (3)","Pure Competition",2005,""
"Club Niggas Da Movie - Skit","Dolby D (2)","Choppin' Up Da Slab II",2005,"0:26"
"Skit","Dollabillgates","Da Really No Sleep Show",0,""
"Fuck Da Critics (Skit)","Dom Pachino","The Invasion",2005,""
"All Right (Skit)","Dom Pachino","Power Rulez",2008,""
"School Of Hard Cocks (Skit)","Dom Pachino"," The Strength - The Appetizer",2011,""
"Drug Skit","Dom Pachino","Napalm World",2005,""
"War (Skit)","Dom Pachino","Unreleased",2004,""
"Intro (Crazy Fan Skit)","Dom Pachino","Napalm World",2005,""
"Extravaganza Radio Interview (Skit)","Dom Pachino","Rice & Beanz",2007,""
"Skit","Dom Pachino","The Invasion",2005,""
"We Go Way Back (Skit)","Dom Pachino"," The Strength - The Appetizer",2011,""
"Dig Down (Skit)","Dom Pachino","Power Rulez",2008,""
"Game Skit","Don Diego (8)","OG Don Diego Presents: Tha Linckolns - Gods Green Earth",2013,""
"Tasha G Skit","Don Diego (8)","Damafiamu: Gangbangin Mix CD Vol. 1",2005,""
"B-Stone Skit","Don Diego (8)","Damafiamu: Gangbangin Mix CD Vol. 1",2005,""
"Skit","Don Diego (8)","Damafiamu: Gangbangin Mix CD Vol. 1",2005,""
"19 Point 5 Oh (Skit)","Don Diego (8)","Tha Red Rag Banditz - Damuzik",2011,""
"Skit","Don P.","The Mi Tae (Hosted By Dj Scream)",2006,""
"Mixtape Awards Skit","Don P.","Target Practise 2",2007,""
"Mutumbo Skit","Don P.","Target Practise 2",2007,""
"Skit","Don Wuan Esquire","Da World I Know",2004,""
"Tay Skit","Dontay","Da Ded Beatz! (Only Da' Half EP Vol 1)",1994,""
"Tay Skit II","Dontay","Da Ded Beatz! (Only Da' Half EP Vol 1)",1994,""
"DJ Skit","Doo Wop","The State Vs. Doo Wop",2003,""
"Stop & Search (Skit)","Doo Wop","The State Vs. Doo Wop",2003,""
"Hussla (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"Plex (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"Strong St. (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"Ike (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"My Ole' (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"Switch Play (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"Pimpin (Skit)","Doobie (2)","Chef Boy-R-G",2003,""
"Godz Army (Skit)","Dooney","Priest of the Streets",2002,""
"Sellout Records (Skit)","Dooney","Priest of the Streets",2002,""
"Start My Car (Skit)","Doramus Roberts","Real Life",2002,""
"Message (Skit)","Dorasel","Unleash The Beast",2001,"0:47"
"Parking Lot (Skit)","Dorasel","Unleash The Beast",2001,"0:28"
"Skit","Dotty Atk","Lawst",2003,""
"Issues (Skit)","Double D (4)","Under The Influence",2002,""
"Skit","Double D (8)","Continuous Heat",2002,""
"Chase The Dream (Skit)","Doughbeezy","Footprints On The Moon",2014,""
"Black Poet Skit","Dougie D (2)","The Realest Guerilla Of Da Maab",2010,""
"Intro (Skit)","Dove Shack","This Is The Shack",1995,""
"Freestyle Interview (Skit)","Dove Shack","This Is The Shack",1995,""
"Crooked Cop (Skit)","Dove Shack","This Is The Shack",1995,""
"The Train (Skit)","Dove Shack","This Is The Shack",1995,""
"Slap A Hoe (Skit)","Dove Shack","This Is The Shack",1995,""
"Shit Aint Free Skit","Dow Jones (3)","Crack Music 2: New Crack City",2005,"1:05"
"Money Call [Skit]","Down $treet Playaz","Cashflow",2000,""
"Da Checkin [Skit]","Down $treet Playaz","Cashflow",2000,""
"My Regular [Skit]","Down $treet Playaz","Cashflow",2000,""
"Mr. Ratt (Skit)","Dr. Dooom","First Come, First Served",1999,"0:43"
"The Shopping List (Skit)","Dr. Dooom","First Come, First Served",0,"0:22"
"Shopping List (Skit)","Dr. Dooom","First Come, First Served",1999,"0:22"
"Wild Kingdom (Skit)","Dr. Dooom","First Come, First Served",1999,"0:23"
"The Turtle Skit","Dr. Octagon","The Return Of Dr. Octagon",2006,""
"High Roller (Skit)","Drag-On","Opposite Of H2O",2000,"1:08"
"Shaquita (Skit)","Drag-On","Opposite Of H2O",2000,"0:52"
"Bronx (Skit)","Drag-On","Hell And Back",2004,"1:34"
"Hot Dick (Skit)","Drag-On","Opposite Of H2O",2000,"1:30"
"Hector The Killer MC (Skit)","Drag-On","Hell And Back",2004,"1:45"
"Busta (Skit)","Drag-On","Hell And Back",2004,"1:11"
"64 Gorillaz (Skit)","Dre Infinite","Dippin' EP",2004,"1:03"
"Dirty Old Man Skit","Dred Scott","Breakin' Combs",1994,"0:37"
"Ghost Skit","Dreddy Kruger","Witty.Unpredictable.Talent.& Natural Game",2005,""
"Witty.Unpredictable.Talent.& Natural Game Skit #1","Dreddy Kruger","Witty.Unpredictable.Talent.& Natural Game",2005,""
"Skit","Dreddy Kruger","Presents...Think Differently Music: Wu-Tang Meets The Indie Culture",2005,"0:32"
"IZSLICKULUS Skit","DREDi","The Stimulus Package",2014,"1:05"
"How I Make My Living (Skit)","Dres The Beatnik","Have Mic... Will Travel",2000,"0:46"
"Backside Skit","Dru Down","Crack Muzic Vol 1",2007,"0:28"
"Skit","Dru Money","Never Enough",2004,""
"Chainsaw Fidler Vs. Pided Piper / Pro Haircut Skit","Drum Machine Technicians","Terminal Illness",1999,"3:17"
"The Mad Dj (Skit)","Drunken Master (5)","Drunkenstyle (The Mix Tape Album)",1999,""
"Skit [Bonus]","DTP (The Dream Team)","100 Proof / Rockberry",1993,"1:36"
"Skit","Dual Committee","Dual Committee",2000,"0:10"
"Sicco Radio Skit","Dub Taylor (4)","Dub Taylor",2008,""
"Proud To Be An American Skit","Dub Taylor (4)","Dub Taylor",2008,""
"The Party (Skit)","Dub-L","Dub-L's In Town",2003,""
"Skit","Dubee Aka Sugawolf","Last Of A Thizzin' Breed",2008,"1:05"
"No Weed (Skit)","Dubee Aka Sugawolf","Turf Matic",2003,""
"Skit - Intro","Duece Poppi","Godzilla Pimpin ",2003,""
"Nasty Ho Skit","Duece Poppi","Godzilla Pimpin ",2003,""
"Stick Up (Skit)","Duke Da God","More Than Music Vol. 2",2006,""
"P.U.L.L. News (Skit)","Durdy Jack Lex Ball","Comin' Thru",2001,""
"Call Back (Skit)","Durdy Jack Lex Ball","Comin' Thru",2001,""
"Comin Thru (Skit)","Durdy Jack Lex Ball","Comin' Thru",2001,""
"Skit. Hoe Land","Dyablo","Da Next Epysode",0,""
"Skit. What You Gotta Say?","Dyablo","Da Next Epysode",0,""
"Skit. I Work 4 GGW","Dyablo","Da Next Epysode",0,""
"Evil Dee Skit","Dysfunkshunal Familee","Separate Ways",2012,""
"GetTheF***On.com Part 1 (Skit)","E-40","My Ghetto Report Card",2006,"1:16"
"Mac Russ (Skit)","E-40","The Block Brochure: Welcome To The Soil 6",2013,""
"Stompdown (Skit)","E-40","The Block Brochure: Welcome To The Soil 4",2013,""
"Record Company Skit","E-40","Loyalty And Betrayal",2000,"1:29"
"GetTheF***On.com Part 2 (Skit)","E-40","My Ghetto Report Card",2006,"1:05"
"JB Stomp Down (Skit)","E-40","My Ghetto Report Card",2006,"0:19"
"Radio (Skit)","E-Dub","Mozt Hated",2008,""
"Underground 101 (Skit)","E-Dub","Mozt Hated",2008,""
"La Cantina (Skit)","E-One (3)","Supply And Demand",2003,""
"Super Star (Skit)","E-Side Ghetto","Ghetto Tales",2000,""
"Bacon & Eggs (Skit) - Edmond Jones & Da Whailers","E. Jones (3)","Tracksmith For Hire: The Instrumental Mixtape",2008,""
"The Departure (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"Tony's Room (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Closing (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Male Groupie (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Car Jack (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Couch (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Opening (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Green Room (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"The Math Man (Skit)","E.M.C. (4)","The Tonite Show",2015,""
"Close Call Skit","E.S.G. (2)","Shinin' N' Grindin'",1999,"0:24"
"Courtroom Skit","E.S.G. (2)","Shinin' N' Grindin'",1999,"0:54"
"Intro Skit","E.S.G. (2)","Shinin' N' Grindin'",1999,"0:16"
"Skit","E.S.G. (2)","The Chronicles",2008,""
"(Family Feud) Skit","Each 1 Teach 1","The Faces Of Life",1998,"1:20"
"(Temptation) Skit","Each 1 Teach 1","The Faces Of Life",1998,"1:18"
"(Pray) Skit","Each 1 Teach 1","The Faces Of Life",1998,"1:10"
"(Change) Skit","Each 1 Teach 1","The Faces Of Life",1998,"0:24"
"Skit","Earthquake (11)","9.9 Richter Scale",1994,""
"Skit","East Side Click","Handing Out Beat Downs",2000,""
"The Rev (Skit)","Eazy-E","Impact Of A Legend",2002,"1:13"
"Skit","Ecay Uno","Keep It In The Family",2004,""
"Good Evening (Skit)","Edan","Primitive Plus",2000,"0:29"
"Skit","Eddie Deville","Dope Still Sells Itself",0,""
"Bar (Skit)","Eddie Projex","I Got The Streets On Fire",2009,"0:49"
"A.D.I.D.A.S Convo (Skit)","Eeyanjae","Str8 No Chaser",2003,"3:02"
"Rap Message (Skit)","Effect (4)","Simply Dope",2011,"0:44"
"How To Be A Liar 101 (Skit)","Eigh8t The Chosen One","The Dwit Killer: Unfinished Business",2011,"1:10"
"How To Be A Loser 101 (Skit)","Eigh8t The Chosen One","The Dwit Killer: Unfinished Business",2011,"1:09"
"Checkin' Messages (Skit #4)","Eightball (3)","Vol. 1: On The Grind",2009,"0:36"
"Skit","Eightball (3)","Lay It Down",2002,"0:17"
"Checkin' Messages (Skit #3)","Eightball (3)","Vol. 1: On The Grind",2009,"0:21"
"Checkin' Messages (Skit #2)","Eightball (3)","Vol. 1: On The Grind",2009,"0:37"
"Checkin' Messages (Skit #1)","Eightball (3)","Vol. 1: On The Grind",2009,"0:51"
"Hustler's Wife Skit","Eldorado Red","East Side Rydah Vol. 1",2006,""
"Mafia Rules Skit","Eldorado Red","East Side Rydah Vol. 1",2006,""
"Skit","Eligh","Gas Dream",1999,"0:11"
"Rocky Skit-Don't Stop The Fight","Eminem","Dr. Numbers Presents Marshall",0,"0:08"
"Em Calls Paul (Skit)","Eminem","The Vinyl LPs",2015,"1:11"
"2 Strong Men - Skit","Eminem","The Best Of Eminem Part 2 - The Shady Bunch",2003,"2:05"
"Curtains Close (Skit)","Eminem","The Vinyl LPs",2015,"1:01"
"Steve Berman (Skit)","Eminem","The Vinyl LPs",2015,"0:33"
"Eminem Skit","Eminem","Shady Classics Mixtape",2014,""
"Curtains Up (Skit)","Eminem","The Vinyl LPs",2015,"0:29"
"Tonya (Skit)","Eminem","The Vinyl LPs",2015,"0:42"
"Dr. West (Skit)","Eminem","The Vinyl LPs",2015,"1:30"
"Paul Rosenberg (Skit)","Eminem","The Vinyl LPs",2015,"0:22"
"Rocky Skit-Chance Of A Lifetime","Eminem","Dr. Numbers Presents Marshall",0,"0:27"
"Rocky Skit-Dangerous Person","Eminem","Dr. Numbers Presents Marshall",0,"0:22"
"Massage - Skit","Eminem","The Best Of Eminem Part 2 - The Shady Bunch",2003,"1:24"
"Rocky Skit-I'm A Fighter","Eminem","Dr. Numbers Presents Marshall",0,"0:24"
"Rocky Skit-Let It Go","Eminem","Dr. Numbers Presents Marshall",0,"0:31"
"Rocky Skit-Heart, Not The Tools","Eminem","Dr. Numbers Presents Marshall",0,"0:50"
"Rocky Skit-Beautiful","Eminem","Dr. Numbers Presents Marshall",0,"0:36"
"Rocky Skit-Win","Eminem","Dr. Numbers Presents Marshall",0,"0:14"
"Paul (Skit)","Eminem","The Marshall Mathers LP",2000,"0:10"
"Ken Kaniff (Skit)","Eminem","The Marshall Mathers LP",2000,"1:01"
"The Kiss (Skit)","Eminem","The Vinyl LPs",2015,"1:15"
"Mr. Mathers (Skit)","Eminem","Relapse: Refill",2009,"0:42"
"Parking Lot (Skit)","Eminem","The Marshall Mathers LP2",2013,"0:55"
"Final Thought (Skit)","Eminem","The Vinyl LPs",2015,"0:30"
"Skit","Empire (21)","Disciples Of Rap",2010,"2:46"
"Young Killa Or Nasty Boy Skit","Endo (9)","One World One Chance",0,"1:53"
"Skit (Ms. Colinas)","Eno (8)","The Game Don't Change",2002,""
"Skit (Smoke Something)","Eno (8)","The Game Don't Change",2002,""
"Skit (Cigar Purchase)","Eno (8)","The Game Don't Change",2002,""
"Jungle Skit","Enormous Tha Ox","Year Of Tha Ox",2010,""
"Tum Pa Tum Pa (Skit)","Ephniko","Escribo Lo Que Vivo",2007,"1:11"
"Babylon News (Skit)","Ephniko","Escribo Lo Que Vivo",2007,"0:51"
"Naam'Sain (Skit)","Ephniko","Escribo Lo Que Vivo",2007,"0:46"
"Reality (Skit)","Epidemic (14)","Illin Spree",2011,"0:50"
"Skit","EPMD","5 Classic Albums",2014,"0:24"
"Skit","Eric Haze","New York Reality Check 101",1997,"1:15"
"MC One Bar (Skit)","Erick Sermon","Chilltown, New York",2004,"1:35"
"In The Studio (Skit)","Erick Sermon","Double Or Nothing",1995,""
"Intro (Skit)","Erick Sermon","Double Or Nothing",1995,""
"Skit I","Erick Sermon","Music",2001,""
"Skit II","Erick Sermon","Music",2001,""
"Matrix (Skit)","Erick Sermon","Chilltown, New York",2004,"0:54"
"Jackin' For Rhymes (Skit)","Erick Sermon","Chilltown, New York",2004,"1:23"
"Hip Hop (Skit)","Erick Sermon","Chilltown, New York",2004,"0:21"
"The Message (Skit)","Erick Sermon","Double Or Nothing",1995,""
"Live In The Backyard (Skit)","Erick Sermon","Double Or Nothing",1995,""
"Skit IV (Khari)","Erick Sermon","React",2002,"0:53"
"Skit IV","Erick Sermon","React",2002,"0:53"
"Jacking For Rhymes (Skit)","Erick Sermon","Chilltown, New York",2004,""
"Smooth Thought (Skit)","Erick Sermon","Double Or Nothing",1995,""
"Skit III","Erick Sermon","Music",2001,""
"Afro (Freestyle Skit)","Erykah Badu","Baduizm",2007,"2:04"
"Interview Skit","Ese Menace","Exposing Studio Gangsters",2010,""
"Daniel Jordan Skit","Esham","Death Of An Indie Label",2011,"0:29"
"(Skit)","Esham","Dead Flowerz",1996,"0:10"
"Booth Skit / Can't Be Me (Hellenic Version)","Euphoria (32)","9 Three Times",2002,"4:26"
"My Enemies (Skit)","Eve (2)","Ruff Ryder’s First Lady",1999,""
"Stop Hatin' (Skit)","Eve (2)","Eve-Olution",2002,""
"3 Way (Skit)","Eve (2)","Scorpion",2001,"0:41"
"Argument (Skit)","Eve (2)","Eve-Olution",2002,""
"Chokie Nikes (Skit)","Eve (2)","Ruff Ryder’s First Lady",1999,""
"My B****** (Skit)","Eve (2)","Ruff Ryder’s First Lady",1999,""
"Frontin' (Skit)","Eve (2)","Scorpion",2001,"0:43"
"BM (Skit)","Eve (2)","Ruff Ryder’s First Lady",1999,""
"Philly Cheese Steak (Skit)","Eve (2)","Ruff Ryder’s First Lady",1999,""
"Making The Medicine... (Skit)","Evidence (2)","Stormwatch",2007,""
"The Most Important Thing Now... (Skit)","Evidence (2)","Stormwatch",2007,""
"Working With Defari (Skit)","Evidence (2)","Stormwatch",2007,""
"Getting A Deeper Voice... (Skit)","Evidence (2)","Stormwatch",2007,""
"Coming Up With Alchemist (Skit)","Evidence (2)","Stormwatch",2007,""
"Story Behind Last Call... (Skit)","Evidence (2)","Stormwatch",2007,""
"Meeting Encore (Skit)","Evidence (2)","Stormwatch",2007,""
"Coke Boy Skit","Evil Empire (4)","Cocaine Riot",2011,""
"Roxy Reynold Skit","Evil Empire (4)","Mac & Cheese 2",2010,""
"My Brother Skit","Evil Empire (4)","Mac & Cheese 2",2010,""
"Evil Empire Skit","Evil Empire (4)","Streets Advocate",2008,""
"Shit Skit","Evil Empire (5)","Meet Da Evils",2007,"0:53"
"Independence Day (Skit)","Evil Minds","The Garden Of Evil",1999,"1:00"
"Can't Be Us (Skit)","Evil Minds","The Garden Of Evil",1999,"1:37"
"The Gathering (Skit)","Evil Minds","The Garden Of Evil",1999,"1:28"
"Answer Machine (Skit)","Evil Pimp","Da Exorcist Returns",2004,""
"Da Phone Call (Skit)","Evil Pimp","Da Exorcist Returns",2004,""
"Skit","EVS","Odds & Ends",2002,""
"Pebble Jam (Skit)","Extended Famm","Happy F*ck You Songs",2002,""
"Pause (Skit)","Extended Famm","Happy F*ck You Songs",2002,""
"Skit","Eye Cue","The All Seeing Eye",2003,""
"Lor Jr Skit","Eye Pound","O Have Mercy Lord",2015,"0:49"
"Skit","F. Dux","Welcome To Granville",2011,"0:35"
"The Truth (Skit)","F.O.S.","Fusion Of Syllables",2000,""
"F.O.S. Mentality (Skit)","F.O.S.","Fusion Of Syllables",2000,""
"Groupie (Skit)","F.O.S.","Fusion Of Syllables",2000,""
"Rims (Skit)","Fabolous","More Street Dreams Pt. 2: The Mixtape",2003,""
"Chicks (Skit)","Fabolous","More Street Dreams Pt. 2: The Mixtape",2003,""
"(Skit) Shed No Tears","Face Forever","World Of Crime",1996,"5:59"
"Skit","Facemob","The Other Side Of The Law - Chopped & Screwed",2006,"1:04"
"Skit (Faculty Live)","Faculty","Phar From Home",2007,""
